Judul ,Tahun,Nama Penulis ,Abstrak,Keywords
"PENENTUAN HARGA OPSI EXCHANGE DENGAN
MENGGUNAKAN MODEL BLACK-SCHOLES",2021,ISNA NUR FAJRIAH,"Exchange option is an option to exchange one asset for another at maturity.
This option is simultaneously a call option on one asset and a put option on the
other asset. One of the methods that can be used to determine the option price is the
Black-Scholes model. This paper discusses derivation and illustration of the Black-
Scholes model to determine the price of an exchange option. Furthermore, the
illustration of the Black-Scholes model also discusses factors affecting the price of
exchange option, such as the current price of the first stock, the current price of the
second stock, the time to maturity, the volatility of the stock price, and the
correlation between the first stock price and the second stock price. Based on the
illustration, it can be concluded that the current price of the second stock, the time
to maturity, and the volatility of stock price are directly proportional to the price of
the exchange option, while the current price of the first stock and the correlation
between the first stock price and the second stock price are inversely proportional
to the price of the exchange option.","Black-Scholes model, exchange option, option price."
"ANALISIS VOLATILITAS HARGA BERAS DAN FAKTOR
YANG MEMENGARUHI PERUBAHAN HARGA BERAS DI
INDONESIA PERIODE 2014-2020",2021,SOPI YATUN HASANAH,"Indonesia is one of the countries that is the third largest producer and
consumer of rice in the world. This is in line with Indonesian people who mostly
make rice as the main food ingredient. Rice is a food commodity that tends to be
volatile. This study aims to analyze the volatility of rice prices in Indonesia for the
2014-2020 period and analyze the factors that influence changes in rice prices in
Indonesia for the 2014-2020 period. The method used in this study is the ARCH-
GARCH model to determine the volatility of rice price and the VECM method to
determine the factors that influence changes in Indonesia rice prices. The results
show that Indonesia’s rice commodity is still volatile during the 2014-2020 period.
The factors that significantly influence changes in the price of indonesian rice in the short term are the variables of the Indonesian rice price itself
and inflation. Meanwhile, in the long term, variables that significantly affect
changes in Indonesian rice prices are inflation, interest rates, world rice prices and
exchange rates. The results of the IRF show that the shock of the factor variables
to changes in Indonesian rice prices varies between periods. FEVD results for the
next five years period all variables have a percentage contribution in influencing
changes in Indonesian rice prices.","ARCH-GARCH, Indonesian Rice Prices, VECM, Volatility"
"PENGARUH VARIABEL MAKROEKONOMI DAN PANDEMI
COVID-19 TERHADAP HARGA SAHAM PERUSAHAAN
AGRIBISNIS DI INDONESIA",2021,ELISA YEMIMA SIANTURI,"This study aims to determine the effect of macroeconomic factors and the
COVID-19 pandemic on share prices of agribusiness companies in Indonesia, both
upstream and downstream. Five macroeconomic variables (inflation, exchange rate,
BI interest rate, world oil price, and palm oil price) were used as independent
variables, the COVID-19 pandemic as a dummy variable and the share price of
agribusiness companies as the dependent variable. The data used are secondary data
from 2015 to 2020 and analyzed by ECM (Error Correction Model). The results
shows that in the short term, only world oil prices and palm oil prices affect the
stock price performance of upstream group companies, while in the downstream
group, all variables including the COVID-19 pandemic doesn’t affect the
company's stock price performance. In the long term, all variables including the
COVID-19 pandemic affects the performance of the share price of companies in
the upstream group, while for the downstream group, only inflation, exchange rates,
world oil prices, crude oil prices, and the COVID-19 pandemic affects the
performance of company share prices.","agribusiness, stock prices, macroeconomic variables, COVID-19,
ECM."
"DAMPAK EL NINO DAN LA NINA TERHADAP HARGA
KUBIS DI INDONESIA",2021,RIZQI FITRIANA,"Climate change is a popular issue discussed in the world and has an impact
on the environment and the economy of a region. One form of climate change that
is happening in Indonesia is El Nino Southern Oscillation (ENSO) consisting of El
Nino, Normal, and La Nina phases. ENSO results in rainfall fluctuations, thus
affecting the agricultural sector, especially the vegetable horticulture sub-sector.
This study examines the impact of El Nino and La Nina on cabbage prices using
the static panel analysis method. The data used in the form of 15 provinces
affected by the span of 2010 to 2018. The phenomenon of El Nino and La Nina is
shown through rainfall indicators. The results obtained in the study are La Nina
has a significant effect in increasing the price of cabbage, followed by other
factors including the price of substitution (mustard green prices), productivity, and
gross regional domestic product per capita","cabbage prices, El Nino, La Nina, static panels"
"PENENTUAN HARGA OPSI EROPA MENGGUNAKAN
METODE MONTE CARLO DAN
METODE BEDA HINGGA",2021,ALOYSIUS MAVERICK SARIUN,"European option prices are generally calculated using the Black-Scholes
model. This model can be used when the assumptions are fulfilled. In fact, options
trading does not fulfill several assumptions so the Black-Scholes model cannot
provide an analytical solution for option prices. This is the reason for the need of
numerical methods to calculate European option prices. This study uses numerical
methods such as the Monte Carlo method which calculates option prices by
simulating stock prices and the finite difference method which performs
discretization on partial differential equations. This paper examines the
convergence for each method. Next, we examine the effect of several parameters
on the option price using the finite difference method. The expiration time of the
option and the option price has a different relationship for certain conditions and
the volatility of the stock price is directly proportional to the option price.","European option, finite difference method, Monte Carlo method, option"
"ANALISIS VOLATILITAS DAN FAKTOR-FAKTOR YANG
MEMENGARUHI PERUBAHAN HARGA JAGUNG
INDONESIA",2021,YOZI YUSANDRA,"Food is the main source of community needs. One of the food commodities
that play an important role in realizing self-sufficiency and national food security
is corn. The main problem with corn is the price volatility that has occurred over
the last few years. The volatility that occurs causes the price of corn to
experience uncertainty which can affect the demand and supply of corn in
Indonesia. Therefore, it is necessary to know the main problems causing the
volatility of corn prices that continue to occur in order to achieve self-sufficiency
and food security. The analysis period in this study is from January 2013 to
December 2020. The analytical method used in this study is the ARCH-GARCH
model to see the level of fluctuations in corn prices. Furthermore, the VECM
method is used to determine the factors that influence changes in Indonesian
corn prices. The results of the analysis show that Indonesia's corn commodity isstill volatile during the period research. This indicates that price stability has not
yet been achieved. Furthermore, using the VECM method shows that the world
corn price factor in the short term has a significant effect on changes in
Indonesian corn prices. Meanwhile, in the long term, factors that have a
significant effect on changes in Indonesian corn prices are world corn prices,
exchange rates, and inflation. The impact of factor variable shocks on changes in
Indonesian corn prices varies between periods and begins to stabilize after the
21st month. The variance contribution of each factor has a percentage that is
able to influence changes in Indonesian corn prices in the long term, so that the
volatility of Indonesian corn prices is influenced by the variables that have been
studied.","ARCH-GARCH, Indonesian Corn Prices, VECM, Volatility."
"PERAMALAN DAN VOLATILITAS
HARGA DAGING AYAM RAS DI JAWA BARAT",2021,MILENIA IHSANTI SUWARNA,"West Java is a province with the highest number of broiler meat population and
production in Indonesia. It makes West Java be the center of broiler meat
production. The price of broiler meat fluctuates all the time. This condition
troubling producers and consumers who want a price stability. Therefore, it is
necessary to formulate a forecast model and volatility level of broiler meat price in
West Java so producers and consumers can plan production and consumption of
broiler meat and the government can use the information as a policy-making tool.
The data used in the form of weekly price data and analyzed using EViews 9. The
best model to forecast broiler meat price in West Java is SARIMA(1,1,1)(0,1,1)26.
The price of broiler meat has uptrend and seasonal pattern. The best model to
estimate the level of price volatility is ARCH(1) with a coefficient value is
0,828514. The coefficient value that close to one indicates the existence of volatility
is strong and the broiler meat price is very responsive to market dynamics. There
are several things that can be done to minimize price fluctuations, such as improving
and adding infrastructures, improving information and distribution systems reviewing corn and the number of brooders import policies, and providing cold
storage.","arch garch, forecasting, price, sarima, volatility"
"PENGARUH KUOTA EKSPOR TERHADAP HARGA KARET
ALAM DOMESTIK INDONESIA",2021,ALFI NURDINA,"The Agreed Export Tonnage Scheme is a policy to limit natural rubber export
quotas by 3 countries, namely Indonesia, Malaysia and Thailand. This policy aims
to increase the price of natural rubber in the world. The policy also affects the
monthly natural rubber prices at the farmers. Therefore, this study aims to analyze
the effect of export Quotas policy on Indonesia's domestic natural rubber prices.
The study uses monthly times series data from January 2013 to December 2019.
The method used is the Error Correction Model to determine the variables that have
a significant effect on the price of Indonesian natural rubber. The variable total
exports of 3 countries with lag -3 has a negative and significant effect both in the
long and short term on the domestic natural rubber price. Meanwhile, Dummy's
export policy has no effect on domestic natural rubber prices. So can be concluded
that the policies has effect of domestik natural rubber price but that policy needs to
be improved. These improvements include supervision, continuous policy design
and additional collaboration with other natural rubber producers.","ECM, natural rubber, domestik price, AETS"
"ANALISIS VOLATILITAS HARGA CABAI BESAR DAN
CABAI RAWIT DI INDONESIA",2021,"ANALISIS VOLATILITAS HARGA CABAI BESAR DAN
CABAI RAWIT DI INDONESIA
SAVIRA NADYA RAHMADANI","The chili commodity in Indonesian market is known in various types,
including large chilies consisting of red chilies and curly chilies and cayenne pepper
consisting of green cayenne pepper and red cayenne pepper. The demand for large
chilies and cayenne pepper is inelastic, so the price tends to be volatile. The volatile
price pattern causes the chili commodity to be included in the volatile food category.
This study is to determine the differences in both the price patterns of large chili
and cayenne pepper and the volatility of the two chili prices. The method that used
are ARIMA and ARCH-GARCH models. The results showed that the volatility that
occurred in these two commodities tended to be low and the price of cayenne pepper
had higher volatility with an ARCH coefficient of 0.833003 compared to the price
of large chili which had an ARCH coefficient of 0.479061. The prices of large
chilies and cayenne pepper are highly volatile on the November to February. The
high volatility was caused by extreme weather so that chili production decreased
while demand increased.","ARCH-GARCH, ARIMA, cayenne pepper, large chili, volatility"
"PENGARUH DEBT TO EQUITY RATIO DAN
PRICE TO BOOK VALUE TERHADAP HARGA SAHAM",2021,FELICIA SUGIARTO,"The effect of a company’s financial statements on its stock prices is not
always the same, so it becomes a problem for investors to find out which stocks are
worth buying. This study aims to determine and explain the effect of Debt to Equity
Ratio (DER) and Price to Book Value (PBV) either simultaneously or partially on
stock prices. The data used are stock prices of six cement companies that have been
listed as issuers on the Indonesia Stock Exchange (IDX) for the period 2016 to 2018
and issue financial reports regularly every year. There are two independent
variables used in this study, namely Debt to Equity Ratio and Price to Book Value,
while the dependent variable used in this study is stock price. This research uses
multiple linear regression analysis model. The results showed that the Debt to
Equity Ratio and Price to Book Value variables had a significant negative effect
on stock prices. It means if DER and PBV are higher, then the stock price will be
lower.","debt to equity ratio, stock price, price to book value"
"PERAMALAN HARGA KOMODITAS CABAI BESAR DI
PULAU JAWA DENGAN MODEL SPACE TIME TRANSFER
FUNCTION",2020,ANGGITA NURUL ANNISA,"Time series analysis is a statistical method commonly used for forecasting.
In addition to the time element, forecasting also needs to pay attention to the
influence of explanatory variables and spatial elements, so that the forecasting is
done can provide more accurate results. One time series analysis method that
considers the effect of explanatory variables and spatial elements is the Space Time
Transfer Function (STTF). Data that can be analyzed using the STTF model are
time series data that have spatial influence. The data used in this study are large
chili commodity price data and average rainfall data in each province in Java from
January 2017 to December 2019. The purpose of this study is to determine the effect
of average rainfall and spatial influence on the prices of large chili commodities
from time to time. The results of this study are the price of large chili commodities
in a particular month influenced by the average rainfall in the previous 3 months
until that month. The price of large chili commodities in one province is also
influenced by prices in other provinces directly adjacent to the province. These
happens because there is a large chili commodity distribution in each province.","forecasting, large chili commodity prices, space time transfer function,
time series analysis."
"DAMPAK PERUBAHAN IKLIM TERHADAP HARGA
KOMODITAS KOPI DI DAERAH TERDAMPAK FENOMENA EL NINO
DAN LA NINA",2020,NABILA SADELINA,"Natural phenomena such as prolonged drought, increased rainfall, fires and
floods that occurred in Indonesia, currently have a wide impact on all aspects of
human life. This is caused by climate change which has a significant impact. The
impact of climate change is an increase in extreme climate. Climate change makes
striking temperature anomalies such as the El Nino and La Nina phenomena or
commonly referred to as the ENSO (El Nino Southern Oscillation) phenomenon.
The ENSO phenomenon causes fluctuations in rainfall, thus affecting the
agricultural sector, especially the plantation subsector. This study examines the
impact of climate change on coffee prices using the static data panel method. The
data used in this study in the form of 12 provinces affected from 2010 to 2017.
The ENSO phenomenon is shown through rainfall indicators. The results obtained
in this study are that El Nino has a significant effect in increasing coffee prices,
and is followed by other factors, namely the price of substitute goods (chocolate
prices), productivity and Real GDP.","coffee prices, El Nino, ENSO, La Nina, static panels"
"PENGARUH PERSEPSI HARGA DAN PERSEPSI KUALITAS
PRODUK TERHADAP MINAT BELI SUTERA MANDAR",2020,YUNI KARTIKA,"Mandar silk is a traditional woven fabric made from silk yarn obtained from
silkworms and produced in West Sulawesi. This study aims to analyze the influence
of consumer characteristics, perceived price, and perceived product quality towards
purchase intention of mandar silk. This study uses a cross sectional study design,
which was conducted in Polewali Mandar District, West Sulawesi. The research
location was chosen purposively. An example in this study is a visitor of a mandar
silk fabric shop as many as 60 people. Sampling was done using convenience
sampling techniques. The type of data used in this study is primary data obtained
from direct interviews guide by questionnaire. The results of the multiple linear
regression test show that consumer characteristics, perceived price and perceived
product quality simultaneously have a positive significant influence towards
purchase intention of mandar silk. However, partially only the age of the consumer
and perceived product quality have a positive significant influence towards
purchase intention of mandar silk.","consumer characteristics, mandar silk, perceived price, perceived
product quality, purchase intention"
"PENENTUAN HARGA OPSI LOOKBACK DENGAN
FLOATING STRIKE PRICE MENGGUNAKAN
METODE MONTE CARLO",2020,GHINA SALSABILA,"Lookback option is an option whose payoff depends on the maximum or
minimum of the asset price reached during the option period. The lookback option
is said to be a floating strike price if the value of the strike price is equal to the
stock price at maturity. The value of the lookback option is determined by the
Monte Carlo method, while the exact value is obtained from the largest simulation
value that the computer can compute. Based on the calculation results, the
resulting relative error value get smaller with the increasing number of
simulations performed. Therefore, the Monte Carlo method to calculate the price
of the lookback option with the floating strike price converges to the exact value.","ookback option, floating strike price, Monte Carlo method,
convergent"
"ANALISIS HARGA SAHAM MENGGUNAKAN
MODEL BLACK-SCHOLES DAN
RUNGE-KUTTA ORDE 4",2020,YOGI ADI SYAH PUTRA,"Stock is a certificate of ownership of a company. Stock analysis and the
parameters used are important to provide big profits in the future. Black-Scholes
is a model for analyzing options using Brownian motion. Stock options in
Indonesia are no longer valid, therefore this research uses the Black Scholes
model with Runge Kutta Order 4 to analyze the stock price of PT Bank Rakyat
Indonesia Tbk (BBRI) with an error of 2.27%, PT Bank Cabang Asia Tbk (BBCA)
with an error of 2.00%, and PT Bank Mandiri Tbk (BMRI) with an error of
2.44%. This small average error value can prove that this model can be used to
analyze stock prices.","Black-Scholes, Brownian, Stock."
"FAKTOR-FAKTOR YANG MEMENGARUHI PERMINTAAN
GULA DI INDONESIA",2020,FAHMI AHDIANA,"The demand for sugar in Indonesia show increased trend. In the 2013-2017
period, the demand for sugar in Indonesia is increased by 9.88 percent. There are
many factors that affect the demand for sugar in Indonesia. The purpose of this
study is to describe economy condition of sugar in Indonesia and to analyze the
factors that affect the demand for sugar in Indonesia. The data that used in this study
are timeseries data from secondary sources in the range of 1993-2017. This study
uses several types of data including sugar consumption (DG), sugar price (PG),
coffee price (PK), population growth (DPOP), and GDP per capita (GDP). Data is
processed with multiple linier regression model using Eviews 9 by ordinary least
square analysis method. The result showed that sugar price and GDP per capita has
positive effect. While coffee price and population growth has negative effect. Sugar
price, coffee price, GDP per capita, and population growth significantly influence
the demand for sugar on the significance level of 10 percent.","demand for sugar, multiple linier regression, ordinary least square"
"NATURAL LANGUAGE-BASED FINANCIAL FORECASTING
OF THE RETURN OF JAKARTA COMPOSITE INDEX
USING SUPPORT VECTOR REGRESSION ON
FINANCIAL NEWS PAGES",2020,AUDHI APRILLIANT,"Volatility of return in stocks can be influenced by economic factors and
socio-economic sentiments that are available in the market. One of the data source
about socio-economic sentiments is financial news. The number of financial news
is increasing with along the development of technology and big data era. That
matter, especially the unstructured data, needs to be utilized in return of stock price
forecasting. The objective of study is to forecast the return of Jakarta composite
index (JCI) using natural language-based financial forecasting (NLFF). NLFF was
applied using predictors from features extraction of textual data, such as sentiment
and also other mathematics calculations. The forecasting of JCI was conducted by
using support vector regression (SVR) based on financial news data from Okezone,
Kompas, and Detik in 2019. In order to get optimum hyperparameters,
hyperparameters tuning was using walk-forward optimization. The best
hyperparameters were obtained by comparing the root mean square error (RMSE)
for each hyperparameters combinations. This study indicated that radial basic
function was the best kernel because it had the smallest RMSE with the highest
Pearson correlation compared to linear and polynomial. The JCI forecasting which
is using only financial news data did not produce good prediction.",hyperparameters tuning; JCI return; NLFF; support vector regression
"PENGEMBANGAN SISTEM MONITORING HARGA, STOK,
DAN PRODUKSI CABAI MENURUT SENTRA PRODUKSI
DENGAN METODE EXTREME PROGRAMMING",2020,GILANG GUNAWAN,"Chili is a commodity that has a large part of inflation in Indonesia due to
fluctuating prices. The scarcity of chili, inefficient distribution patterns, and the
length of the supply chain are the triggers for this problem. The development of
technology is one solution that can be used to overcome these problems. The
purpose of this research is to develop a system that displays historical data to users
related to chili in each production center. This system was developed through a
descriptive analytics approach which is one part of business analytics. Through this
chili monitoring system per production center, the public can monitor developments
in the price, stock, production, and productivity of chili in every region in West
Java. In addition to its benefits to the general public, this system is also utilized by
stakeholders in making distribution policies, setting targets, and capital for chili
business in each production center. This research uses extreme programming
methods that are applied in application development. This web-based system with
six main features to support information needs related to chili in West Java.","chili, descriptive analytics, extreme programming, monitoring,
production centers"
"ANALISIS PERBANDINGAN BIAYA PENGADAAN KAPAL JENIS
KAYU DAN FIBERGLASS DI PELABUHAN PERIKANAN
SAMUDERA CILACAP",2020,MOHD FADIL YUTARO,"Fishing vessels in Indonesia generally use wood material. Wood was chosen
because it is easy to work on, easy to design and recyclable. Wood has experienced
scarcity in nature and it is difficult to obtain due to excessive wood exploitation.
The Ministry of Maritime Affairs and Fisheries (KKP) has conducted a conversion
program for the use of wooden ships to fiberglass ships through assistance for
fishermen. Fishermen are still reluctant to use fiberglass vessels because they
consider wooden vessels to have lower procurement costs. The purpose of this study
were to estimate and compare ship procurement costs, maintenance costs and
depreciation costs for wooden ships and fiberglass vessels. The analytical method
used was the calculation of the magnitude of the Gross Tonnage, the analysis of the
total production cost of shipbuilding and the analysis of depreciation costs. The
results showed a comparison of the total cost of making and selling prices that are
components of the cost of procurement of ships incurred for the manufacture of
three wooden ships and three fiberglass ships with a comparatively comparable size
obtained that the cost of procuring fiberglass vessels was cheaper than wooden
vessels. Comparison of maintenance costs and depreciation costs incurred per year
for three wooden ships and three fiberglass vessels that have varying sizes with a
relatively similar size ratio obtained by the cost of maintaining the ship and
depreciation costs incurred for ships made of fiberglass worth less than wooden
vessels.","depreciation costs, gross tonnage, maintenance costs, production costs,
selling prices"
